Time passed, x, y 
2.527355670928955, 1, 0, 
2.631523370742798, 1, 1, 
2.909376859664917, 1, 1, 
3.0141003131866455, 2, 1, 
3.119617223739624, 3, 1, 
3.225520133972168, 3, 1, 
3.3329572677612305, 3, 1, 
3.438493490219116, 3, 2, 
3.5443918704986572, 3, 3, 
3.650900363922119, 3, 4, 
3.7576651573181152, 3, 5, 
3.8640708923339844, 3, 5, 
4.071411609649658, 3, 5, 
4.178576707839966, 2, 5, 
4.283373594284058, 1, 5, 
4.3888304233551025, 1, 5, 
4.494687795639038, 1, 5, 
4.6009297370910645, 1, 5, 
4.706678628921509, 1, 6, 
4.811931610107422, 1, 7, 
4.918751239776611, 1, 8, 
5.024416923522949, 1, 9, 
6.913841485977173, 1, 9, 
7.017198085784912, 2, 9, 
7.1241912841796875, 3, 9, 
7.229893922805786, 3, 9, 
7.364128828048706, 3, 9, 
7.467893600463867, 3, 8, 
7.570773124694824, 3, 7, 
7.677232265472412, 3, 7, 
7.804022789001465, 3, 7, 
7.909129858016968, 4, 7, 
8.0153329372406, 5, 7, 
8.119993925094604, 5, 7, 
8.22569489479065, 5, 7, 
8.33177924156189, 5, 6, 
8.437220573425293, 5, 5, 
8.542588233947754, 5, 4, 
8.648159503936768, 5, 3, 
8.75421667098999, 5, 2, 
8.861392259597778, 5, 1, 
8.966678142547607, 5, 1, 
9.895339250564575, 5, 1, 
9.999310731887817, 6, 1, 
10.103952646255493, 7, 1, 
10.206875801086426, 7, 1, 
10.314141035079956, 7, 1, 
10.420701503753662, 7, 2, 
10.526057720184326, 7, 3, 
10.630678176879883, 7, 3, 
10.73723292350769, 7, 3, 
10.844316720962524, 8, 3, 
10.950052261352539, 9, 3, 
11.05536699295044, 10, 3, 
11.161581754684448, 11, 3, 
11.26832127571106, 11, 3, 
11.375360012054443, 11, 3, 
11.481934070587158, 11, 3, 
11.5874605178833, 11, 2, 
11.693085193634033, 11, 1, 
12.632108449935913, 11, 1, 
12.737837553024292, 12, 1, 
12.840388536453247, 13, 1, 
12.945857286453247, 14, 1, 
13.051488161087036, 15, 1, 
13.15799617767334, 15, 1, 
13.264182090759277, 15, 2, 
13.368704795837402, 15, 3, 
13.472229480743408, 15, 4, 
13.577188968658447, 15, 5, 
13.683285236358643, 15, 6, 
13.79081392288208, 15, 7, 
13.896511793136597, 15, 7, 
14.704082727432251, 15, 7, 
14.808390617370605, 14, 7, 
14.912997961044312, 13, 7, 
15.01869010925293, 12, 7, 
15.12460732460022, 11, 7, 
15.227475881576538, 11, 7, 
15.335310220718384, 11, 7, 
15.439925193786621, 11, 6, 
15.545335054397583, 11, 5, 
15.650948762893677, 11, 5, 
15.756709337234497, 11, 5, 
15.865207433700562, 11, 5, 
15.970534086227417, 10, 5, 
16.076446294784546, 9, 5, 
16.181232690811157, 9, 5, 
16.490238189697266, 9, 5, 
16.59544348716736, 9, 6, 
16.701246976852417, 9, 7, 
16.81098198890686, 9, 8, 
16.916574478149414, 9, 9, 
17.022430419921875, 9, 9, 
17.129225254058838, 9, 9, 
17.235303163528442, 8, 9, 
17.340367555618286, 7, 9, 
17.444815397262573, 7, 9, 
17.583064079284668, 7, 9, 
17.688376426696777, 7, 10, 
17.793195486068726, 7, 11, 
17.898607969284058, 7, 12, 
18.004406213760376, 7, 13, 
18.110811710357666, 7, 14, 
18.218104124069214, 7, 15, 
18.322542905807495, 7, 15, 
18.705877780914307, 7, 15, 
18.810626983642578, 6, 15, 
18.914617776870728, 5, 15, 
19.019824743270874, 5, 15, 
19.12628746032715, 5, 15, 
19.542070865631104, 5, 15, 
19.646827220916748, 5, 14, 
19.750343084335327, 5, 13, 
19.853886365890503, 5, 13, 
19.959996461868286, 5, 13, 
20.06671714782715, 4, 13, 
20.170114517211914, 3, 13, 
20.2761709690094, 2, 13, 
20.381560802459717, 1, 13, 
20.673293113708496, 1, 13, 
20.773650407791138, 1, 12, 
20.87804675102234, 1, 13, 
20.984108209609985, 1, 14, 
21.089750051498413, 1, 15, 
21.191049098968506, 1, 16, 
